PK,message_title,message_contents,is_adv,send_count
20191016-84-1070995-1,Sh수협은행과 카카오톡채널 친구가 되어주세요.,"(광고) Sh수협은행 공식 카카오톡 채널을 친구로 추가해주세요. 친구가 되신 분들에게 Hey프렌즈(라온,아리,아라) 이모티콘을 보내드립니다.이벤트 기간 : 이모티콘 소진시 까지카카오톡 친구추가하러가기 : http://pf.kakao.com/_YTxcJj※ 무료수신거부 : 080-777-****",Y,"39,356 "
20211231-808-911982-1,(광고)수협원흥역 지점 새해인사,(광고)수협원흥역 지점 새해인사<br><br> 코로나로 힘들었던 ****년 신축년 한해가 저물어 갑니다.<br><br>****년 임인년 새해에는 행복한 일들만 가득하시길 바랍니다...<br><br>수협은행 원흥역지점 직원일동.<br>수협은행 원흥역지점<br>(☎031-968-****)<br>※무료수신거부 : ********51,N,"8,300 "
20190711-233-1189585-1,Sh수협 장기카드대출(카드론) 신상품 출시!,"(광고) 신청 당일 바로 지급되는 간편한 장기카드대출(카드론),이용가능금액 및 금리를 조회해보세요!■ 이용방법  ▶ 인터넷뱅킹 : https://www.suhyup-bank.com  ▶ 수협파트너뱅크(스마트폰 App.)※ 자세한 사항은 고객센터(****-****)로 문의하시기 바랍니다.※ 무료수신거부********51",Y,"33,751 "
20190619-233-1189585-2,Sh수협 장기카드대출(카드론) 신상품 출시!,(광고) Sh수협 장기카드대출(카드론) 신상품 출시!이용가능금액 및 금리를 조회해보세요!■ 이용방법  ▶ 인터넷뱅킹 : https://www.suhyup-bank.com  ▶ 수협파트너뱅크(스마트폰 App.)※ 자세한 사항은 고객센터(****-****)로 문의하시기 바랍니다.※무료수신거부********51,Y,"31,087 "
20191217-84-1070995-1,(광고) Sh수협은행과 카카오톡채널 친구가 되어주세요.,(광고) Sh수협은행 헤이프렌즈 이모티콘 2탄 크리스마스버전이 출시되었습니다.수협은행 공식 카카오톡 채널을 친구로 추가해주신 분들에게 Hey프렌즈 이모티콘을 보내드립니다.이벤트 기간 : ****. 12. 17 오후 2시 ~ 이모티콘 소진시 까지카카오톡 친구추가하러가기 : http://pf.kakao.com/_YTxcJj※ 본 이벤트는 신규친구 대상으로 지급됩니다.※ 무료수신거부 : 080-777-****,Y,"27,721 "
20191016-84-1070995-1,Sh수협은행과 카카오톡채널 친구가 되어주세요.,"(광고)Sh수협은행 공식 카카오톡 채널을 친구로 추가해주세요. 친구가 되신 분들에게 Hey프렌즈(라온,아리,아라) 이모티콘을 보내드립니다.이벤트 기간 : 이모티콘 소진시 까지카카오톡 친구추가하러가기 : http://pf.kakao.com/_YTxcJj※ 무료수신거부 : 080-777-****",Y,"20,663 "
20191217-84-1070995-1,(광고) Sh수협은행과 카카오톡채널 친구가 되어주세요.,(광고)Sh수협은행 헤이프렌즈 이모티콘 2탄 크리스마스버전이 출시되었습니다.수협은행 공식 카카오톡 채널을 친구로 추가해주신 분들에게 Hey프렌즈 이모티콘을 보내드립니다.이벤트 기간 : ****. 12. 17 오후 2시 ~ 이모티콘 소진시 까지카카오톡 친구추가하러가기 : http://pf.kakao.com/_YTxcJj※ 본 이벤트는 신규친구 대상으로 지급됩니다.※ 무료수신거부 : 080-777-****,Y,"19,469 "
20211214-808-1100842-1,(광고)달력2차배부안내,"(광고)달력2차배부안내<br>안녕하십니까<br>수협은행 공덕금융센터입니다.<br><br>오늘부터 ****년 달력 2차 배부를 시작합니다. <br>(달력소진시까지)<br><br>수량이 한정되어 있어 부득이하게 1인 배부 수량을 제한함에 양해부탁드리며,<br><br>꼭 필요하신분은 서둘러 방문해주시기 바랍니다. <br><br><br>** 전화로 달력예약은 불가함을 말씀드립니다**<br><br><br>****년도에도  많은거래 부탁드립니다.^^<br><br>수협은행 공덕금융센터<br>(☎02-712-****)<br>※무료수신거부 : ********51",N,"10,496 "
20230707-808-1120204-1,(광고)수협은행 경남지역금융본부,(광고)수협은행 경남지역금융본부<br>SUHYUP BANK<br><br>수협은행은 고객중심경영을 실천하며 고객과 함께 성장하는 제1금융권 은행입니다.<br><br>신용평가등급<br>국내신용평가기관 :AAA<br>Moodys : A2(P)<br>S&P : A(S)<br>(****.12.31 기준)<br>수협은행 경남지역금융본부<br>(☎055-278-****)<br>※무료수신거부 : ********51,N,"8,509 "
20191016-84-1070995-2,Sh수협은행과 카카오톡채널 친구가 되어주세요.,"(광고) Sh수협은행 공식 카카오톡 채널을 친구로 추가해주세요. 친구가 되신 분들에게 Hey프렌즈(라온,아리,아라) 이모티콘을 보내드립니다.이벤트 기간 : 이모티콘 소진시 까지카카오톡 친구추가 하러가기 : http://pf.kakao.com/_YTxcJj※ 무료수신거부 : 080-777-****",Y,"8,364 "
20211228-808-942227-2,(광고),"(광고)<br>안녕하세요. 수협은행 세종금융센터장 ***입니다.<br>금번 정기인사에 고향인 충남 천안지점장으로 발령을 받았습니다.<br>코로나 19로 사회적 거리두기가 더욱 강력해져 더 가까이 다가가 인사드리지 못하는 송구함을 널리 혜량하여 주시기 바라오며 그동안 베풀어주신 후의에 깊이 감사드립니다.<br>****년 任辰年<br>새해에도 고객님의 가정과 사업장,직장에 건강, 건승,화평이 가득하시기를 기원드립니다.<br><br>餘不備禮 ***배상<br><br>수협은행 세종금융센터<br>(☎044-868-****)<br>※무료수신거부 : ********51",N,"7,938 "
